user screen name,att,RT?
jimmio23,['tedcruz'],tweet
pennelv,['tedcruz'],tweet
Bobbowden50,['tedcruz'],tweet
speterstone00,['CBSNewsRadio'],retweet
itsmeEeMYess,['nytimes'],retweet
RmrMichele,"['huntington1991', 'tedcruz']",tweet
shortylightbri1,['ReneAren4s'],retweet
terry_mcnemar,['RagingGayCons'],retweet
JorgaStevens,['grantstern'],tweet
Kit_Kelley,"['joncoopertweets', 'DonaldJTrumpJr']",tweet
fabularcierto,['AFP'],retweet
pamelaspurling,"['Jali_Cat', 'BetoORourke']",retweet
EckleyToni,['ScottPresler'],tweet
dginacm,['oscarbalmen'],retweet
h0pelessbeauty_,['HOMEBOY187_'],retweet
FelipeKeelvin,['OGlobo_Mundo'],retweet
Ken_PNW,['charliekirk11'],retweet
lbarriosm_7,[],tweet
elcadelatrifig,['callodehacha'],retweet
charmoffnsiv,"['IwriteOK', 'bastardspod']",tweet
improvedme,['funder'],tweet
Scottland_Olds,['JoeConchaTV'],tweet
rajmarwa1,['Alzer_One'],retweet
enlightnup,['DGPurser'],retweet
LuckiestGirl4,"['TheDemCoalition', 'DonaldJTrumpJr', 'Funder']",retweet
hehesandyy,['PaisaTweets_'],retweet
Belizaleyva1,['SenTedCruz'],tweet
argenisherrera3,['Carola2hope'],retweet
Bobbowden50,"['Tricia4Trump', 'tedcruz']",tweet
PastorBlandonMo,['CARLOSFMEJIA'],tweet
Roseroro0804,['charliekirk11'],retweet
tparlato11,['charliekirk11'],retweet
maggie79222399,['tedcruz'],retweet
sirtoolslf,['Bornabrit1'],retweet
saeckart53,['charliekirk11'],retweet
McgeeverMartin,['charliekirk11'],retweet
pcordoncab,['_Pacam'],retweet
javit53,['NachoRgz'],retweet
itsmeEeMYess,['nytimes'],tweet
jorgevazquezs,['rgomezjunco'],retweet
TaveresQuixote,['tedcruz'],retweet
